"Start Date (UTC)","End Date (UTC)","Duration","Dirty","Device","Device ID","Device Platform","Device Operating System Version","Device Model Name","Device Model Number","Email","User ID","IsActive","Role","FirstName","MiddleName","LastName","Notes","Organization","Title","Location","Address1","Address2","City","Region","PostalCode","Country","HomePhone","MobilePhone","OfficePhone","FaxPhone","Application","Application ID","Application Version","Reserved"
"2016-01-27 17:17:46","2016-01-27 17:53:52","0:36:05","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","deepak_admin@ml.com","d0be2913-2608-4d8a-a73a-9ff4eb0223a3","True","Administrator","Deepak","","Solanki","","","","","","","","","","","","","","","deviceControl","1ad1c6e4-0914-4467-b839-f4d20e22dc1c","1.0/1","False"
"2016-01-27 17:14:21","2016-01-27 17:15:08","0:00:46","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","deepak_admin@ml.com","d0be2913-2608-4d8a-a73a-9ff4eb0223a3","True","Administrator","Deepak","","Solanki","","","","","","","","","","","","","","","deviceControl","1ad1c6e4-0914-4467-b839-f4d20e22dc1c","1.0/1","False"
"2016-01-27 17:11:48","2016-01-27 17:12:23","0:00:35","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","deepak_admin@ml.com","d0be2913-2608-4d8a-a73a-9ff4eb0223a3","True","Administrator","Deepak","","Solanki","","","","","","","","","","","","","","","deviceControl","1ad1c6e4-0914-4467-b839-f4d20e22dc1c","1.0/1","False"
"2016-01-27 15:10:19","2016-01-27 15:40:34","0:30:15","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","deepak_admin@ml.com","d0be2913-2608-4d8a-a73a-9ff4eb0223a3","True","Administrator","Deepak","","Solanki","","","","","","","","","","","","","","","deviceControl","1ad1c6e4-0914-4467-b839-f4d20e22dc1c","1.0/1","False"
"2016-01-25 12:03:20","2016-01-25 12:04:08","0:00:47","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","deepak_admin@ml.com","d0be2913-2608-4d8a-a73a-9ff4eb0223a3","True","Administrator","Deepak","","Solanki","","","","","","","","","","","","","","","deviceControl","1ad1c6e4-0914-4467-b839-f4d20e22dc1c","1.0/1","False"
"2016-01-25 09:18:59","2016-01-25 09:19:09","0:00:10","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","admin","7b03f760-db5f-4d1f-812a-ca7189a49e1c","True","DefaultAdministrator","Admin","","TestUser","","","","","","","","","","","","","","","deviceControl","1ad1c6e4-0914-4467-b839-f4d20e22dc1c","1.0/1","False"
"2016-01-25 06:41:16","2016-01-25 06:41:16","0:00:00","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","admin","7b03f760-db5f-4d1f-812a-ca7189a49e1c","True","DefaultAdministrator","Admin","","TestUser","","","","","","","","","","","","","","","","","","False"
"2016-01-25 06:41:11","2016-01-25 06:41:13","0:00:01","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","admin","7b03f760-db5f-4d1f-812a-ca7189a49e1c","True","DefaultAdministrator","Admin","","TestUser","","","","","","","","","","","","","","","","","","False"
"2016-01-25 06:09:00","2016-01-25 06:09:20","0:00:20","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","deepak_admin@ml.com","d0be2913-2608-4d8a-a73a-9ff4eb0223a3","True","Administrator","Deepak","","Solanki","","","","","","","","","","","","","","","","","","False"
"2016-01-22 08:20:34","2016-01-22 08:20:35","0:00:00","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","dollyadmin@ml.com","7a69aaff-4644-42f6-9983-685da4c54d28","True","Administrator","","","","","","","","","","","","","","","","","","","","","False"
"2016-01-22 08:20:23","2016-01-22 08:20:23","0:00:00","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","dollyadmin@ml.com","7a69aaff-4644-42f6-9983-685da4c54d28","True","Administrator","","","","","","","","","","","","","","","","","","","","","False"
"2016-01-22 08:18:03","2016-01-22 08:19:08","0:01:05","False","AndroidTablet #2","cab46181-bced-4301-bb31-e10396cc9ae1","Android","3.2","Galaxy Tab 7","GT-P6200","dollyadmin@ml.com","7a69aaff-4644-42f6-9983-685da4c54d28","True","Administrator","","","","","","","","","","","","","","","","","","Aldiko","dbd30103-9ce8-404a-b955-ccf635c4cb6b","3.0.8/300026","False"
